COUNTRY,UNDP_Nations,MPI,UN_Nations,LCDI
Afghanistan,Afghanistan,0.392655172,Afghanistan,2.531617836
Albania,Albania,0.635034483,Albania,2.107122907
Algeria,Algeria,0.711551724,Algeria,2.818356616
Andorra,Andorra,0.930068966,Andorra,1.823652741
Angola,Angola,0.559862069,Angola,3.506109632
Antigua and Barbuda,Antigua and Barbuda,0.797034483,Antigua and Barbuda,3.319021964
Argentina,Argentina,0.761241379,Argentina,1.711773856
Armenia,Armenia,0.577068966,Armenia,1.738390913
Australia,Australia,0.888275862,Australia,2.364370717
Austria,Austria,0.902827586,Austria,0.251305652
Azerbaijan,Azerbaijan,0.662586207,Azerbaijan,1.732879036
The Bahamas,Bahamas,0.861,The Bahamas,3.787543186
Bahrain,Bahrain,0.907068966,Bahrain,-0.441749403
Bangladesh,Bangladesh,0.463551724,Bangladesh,1.640816382
Barbados,Barbados,0.753896552,Barbados,3.401352068
Belarus,Belarus,0.702655172,Belarus,0.424627411
Belgium,Belgium,0.897931034,Belgium,-2.289649115
Belize,Belize,0.632655172,Belize,3.610782417
Benin,Benin,0.428862069,Benin,3.682568583
Bhutan,Bhutan,0.56662069,Bhutan,3.072139539
Bolivia,Bolivia (Plurinational State of),0.581068966,Bolivia,3.186769551
Bosnia and Herzegovina,Bosnia and Herzegovina,0.613551724,Bosnia and Herzegovina,1.489800018
Botswana,Botswana,0.715241379,Botswana,2.458497283
Brazil,Brazil,0.725068966,Brazil,2.820498422
Brunei,Brunei Darussalam,1,Brunei,3.923779816
Bulgaria,Bulgaria,0.717862069,Bulgaria,1.297303023
Burkina Faso,Burkina Faso,0.375241379,Burkina Faso,3.139994028
Burundi,Burundi,0.306034483,Burundi,3.608374381
Cape Verde,Cabo Verde,0.554413793,Cape Verde,2.570523957
Cambodia,Cambodia,0.439793103,Cambodia,2.692961938
Cameroon,Cameroon,0.497241379,Cameroon,4.532089256
Canada,Canada,0.893344828,Canada,2.25736127
Central African Republic,Central African Republic,0.323172414,Central African Republic,4.112026252
Chad,Chad,0.392862069,Chad,2.997558231
Chile,Chile,0.758241379,Chile,1.837164768
China,China,0.599827586,China,1.808585971
Colombia,Colombia,0.689206897,Colombia,3.156607975
Comoros,Comoros,0.480034483,Comoros,3.856474455
Congo,Congo,0.577275862,Congo,4.657738127
DR Congo,Congo (Democratic Republic of the),0.300551724,DR Congo,4.199718316
Costa Rica,Costa Rica,0.704827586,Costa Rica,2.56922772
Cote d'Ivoire,C√¥te d'Ivoire,0.50037931,Cote d'Ivoire,4.259932711
Croatia,Croatia,0.774482759,Croatia,1.538489343
Cuba,Cuba,0.593965517,Cuba,4.08260777
Curaçao,Curaçao,NA,Cura√ßao,3.364446552
Cyprus,Cyprus,0.854310345,Cyprus,2.951448541
Czech Republic,Czechia,0.822551724,Czech Republic,-1.269832101
Denmark,Denmark,0.911758621,Denmark,2.058013119
Djibouti,Djibouti,0.470448276,Djibouti,3.403420165
Dominica,Dominica,0.66562069,Dominica,3.206153157
Dominican Republic,Dominican Republic,0.675137931,Dominican Republic,3.907330895
Ecuador,Ecuador,0.667931034,Ecuador,1.882757051
Egypt,Egypt,0.662724138,Egypt,3.016972725
El Salvador,El Salvador,0.610586207,El Salvador,3.212508696
Equatorial Guinea,Equatorial Guinea,0.695896552,Equatorial Guinea,4.111626869
Eritrea,Eritrea,0.447896552,Eritrea,3.375962952
Estonia,Estonia,0.789,Estonia,0.617554944
Eswatini,Eswatini (Kingdom of),0.647275862,Eswatini,NA
Ethiopia,Ethiopia,0.319965517,Ethiopia,3.123209136
Fiji,Fiji,0.641137931,Fiji,3.148789868
Finland,Finland,0.884275862,Finland,1.009941945
France,France,0.886,France,2.618396028
Gabon,Gabon,0.773655172,Gabon,4.625013642
The Gambia,Gambia,0.398068966,The Gambia,3.061283824
Georgia,Georgia,0.594862069,Georgia,1.860811267
Germany,Germany,0.898965517,Germany,-1.210081086
Ghana,Ghana,0.490551724,Ghana,4.192510355
Greece,Greece,0.834448276,Greece,2.655430992
Grenada,Grenada,0.683413793,Grenada,3.668407152
Guatemala,Guatemala,0.622551724,Guatemala,3.031322558
Guernsey,Guernsey,NA,Guernsey,1.524562522
Guinea,Guinea,0.413827586,Guinea,3.95050487
Guinea-Bissau,Guinea-Bissau,0.405448276,Guinea-Bissau,3.472428008
Guyana,Guyana,0.578034483,Guyana,3.434037501
Haiti,Haiti,0.426965517,Haiti,4.271764213
Honduras,Honduras,0.534103448,Honduras,3.868210799
Hong Kong,"Hong Kong, China (SAR)",0.906172414,Hong Kong,NA
Hungary,Hungary,0.793068966,Hungary,0.239080473
Iceland,Iceland,0.885068966,Iceland,0.760403372
India,India,0.528931034,India,2.461899918
Indonesia,Indonesia,0.638517241,Indonesia,4.400255076
Iran,Iran (Islamic Republic of),0.756344828,Iran,2.483248062
Iraq,Iraq,0.705275862,Iraq,2.658177746
Ireland,Ireland,0.878862069,Ireland,1.225334622
Israel,Israel,0.841965517,Israel,1.977286576
Italy,Italy,0.884551724,Italy,1.869586099
Jamaica,Jamaica,0.656793103,Jamaica,4.348005729
Japan,Japan,0.886827586,Japan,2.250822605
Jordan,Jordan,0.657206897,Jordan,2.902959795
Kazakhstan,Kazakhstan,0.749517241,Kazakhstan,1.547890882
Kenya,Kenya,0.474344828,Kenya,3.240690908
Kiribati,Kiribati,0.515275862,Kiribati,1.991844831
South Korea,Korea (Republic of),0.822034483,South Korea,1.447149896
Kuwait,Kuwait,0.992034483,Kuwait,-1.382407733
Kyrgyzstan,Kyrgyzstan,0.480896552,Kyrgyzstan,2.227092807
Laos,Lao People's Democratic Republic,0.517068966,Laos,2.007929046
Latvia,Latvia,0.754448276,Latvia,0.847948813
Lebanon,Lebanon,0.708206897,Lebanon,2.070506324
Lesotho,Lesotho,0.487655172,Lesotho,2.880939919
Liberia,Liberia,0.313206897,Liberia,4.740707588
Libya,Libya,0.786793103,Libya,2.853106491
Liechtenstein,Liechtenstein,0.996448276,Liechtenstein,NA
Lithuania,Lithuania,0.772689655,Lithuania,0.614126234
Luxembourg,Luxembourg,0.985344828,Luxembourg,NA
Macedonia,North Macedonia,0.689034483,Macedonia,1.556458032
Madagascar,Madagascar,0.396344828,Madagascar,3.46145053
Malawi,Malawi,0.333862069,Malawi,3.094927991
Malaysia,Malaysia,0.778068966,Malaysia,4.276181259
Maldives,Maldives,0.686448276,Maldives,4.867297312
Mali,Mali,0.419034483,Mali,3.300312192
Malta,Malta,0.832344828,Malta,3.070939452
Marshall Islands,Marshall Islands,0.559517241,Marshall Islands,4.088760274
Mauritania,Mauritania,0.521137931,Mauritania,3.098511978
Mauritius,Mauritius,0.733862069,Mauritius,3.098065223
Mexico,Mexico,0.76137931,Mexico,2.895330027
Micronesia,Micronesia (Federated States of),0.530586207,Micronesia,4.563460732
Moldova,Moldova (Republic of),0.570827586,Moldova,0.947875673
Mongolia,Mongolia,0.621413793,Mongolia,2.04532857
Montenegro,Montenegro,NA,Montenegro,2.058490068
Morocco,Morocco,0.598137931,Morocco,2.385350964
Mozambique,Mozambique,0.286793103,Mozambique,NA
Myanmar,Myanmar,0.451482759,Myanmar,3.001168932
Namibia,Namibia,0.654137931,Namibia,2.629826389
Nauru,Nauru,NA,Nauru,2.019310161
Nepal,Nepal,0.429758621,Nepal,2.25041181
Netherlands,Netherlands,0.911655172,Netherlands,0.283933452
New Zealand,New Zealand,0.852,New Zealand,2.525990231
Nicaragua,Nicaragua,0.53362069,Nicaragua,3.413745806
Niger,Niger,0.315482759,Niger,2.998627643
Nigeria,Nigeria,0.550517241,Nigeria,3.119230325
Niue,Niue,NA,Niue,2.550105525
North Korea,North Korea,NA,North Korea,1.841792922
Norway,Norway,0.960655172,Norway,1.437323361
Oman,Oman,0.904172414,Oman,3.809874534
Pakistan,Pakistan,0.551068966,Pakistan,2.587171353
Palau,Palau,0.732310345,Palau,NA
"Palestine, State of","Palestine, State of",0.536448276,"Palestine, State of",NA
Panama,Panama,0.724344828,Panama,3.172032066
Papua New Guinea,Papua New Guinea,0.499689655,Papua New Guinea,3.886363657
Paraguay,Paraguay,0.664758621,Paraguay,1.733089661
Peru,Peru,0.653896552,Peru,2.875857633
Philippines,Philippines,0.609034483,Philippines,3.816692111
Poland,Poland,0.768827586,Poland,-0.188212035
Portugal,Portugal,0.832172414,Portugal,1.957023369
Puerto Rico,Puerto Rico,NA,Puerto Rico,3.689421665
Qatar,Qatar,0.999517241,Qatar,1.667016391
Romania,Romania,0.745137931,Romania,0.75976035
Russia,Russian Federation,0.787862069,Russia,1.963487236
Rwanda,Rwanda,0.359965517,Rwanda,3.727352217
Saint Kitts and Nevis,Saint Kitts and Nevis,0.807551724,Saint Kitts and Nevis,3.26932251
Saint Lucia,Saint Lucia,0.696344828,Saint Lucia,3.456844602
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,0.666413793,Saint Vincent and the Grenadines,3.553063799
Samoa,Samoa,0.578344828,Samoa,4.147619624
Sao Tome and Principe,Sao Tome and Principe,0.464034483,Sao Tome and Principe,4.632504468
Saudi Arabia,Saudi Arabia,0.926896552,Saudi Arabia,3.245888335
Senegal,Senegal,0.488689655,Senegal,3.052623516
Serbia,Serbia,0.702034483,Serbia,0.995399231
Seychelles,Seychelles,0.786,Seychelles,3.805624308
Sierra Leone,Sierra Leone,0.362137931,Sierra Leone,4.458381805
Singapore,Singapore,0.95662069,Singapore,NA
Slovakia,Slovakia,0.792310345,Slovakia,-0.557311229
Slovenia,Slovenia,0.838172414,Slovenia,0.353170463
Solomon Islands,Solomon Islands,0.426068966,Solomon Islands,4.461446253
Somalia,Somalia,NA,Somalia,3.797074216
South Africa,South Africa,0.702172414,South Africa,2.708582369
South Sudan,South Sudan,NA,South Sudan,3.216923431
Spain,Spain,0.859206897,Spain,2.023829339
Sri Lanka,Sri Lanka,0.629137931,Sri Lanka,4.446990463
Sudan,Sudan,0.489793103,Sudan,3.159926064
Suriname,Suriname,0.714482759,Suriname,3.29847509
Swaziland,Swaziland,NA,Swaziland,2.671201518
Sweden,Sweden,0.89837931,Sweden,1.048451938
Switzerland,Switzerland,0.949103448,Switzerland,0.64204203
Syria,Syrian Arab Republic,0.569827586,Syria,2.431814485
Taiwan,Taiwan,NA,Taiwan,2.371862816
Tajikistan,Tajikistan,0.461,Tajikistan,2.462550753
Tanzania,Tanzania (United Republic of),0.441517241,Tanzania,3.355620906
Thailand,Thailand,0.705448276,Thailand,2.246524063
Timor-Leste,Timor-Leste,0.605,Timor-Leste,4.066787264
Togo,Togo,0.383931034,Togo,3.737544676
Tonga,Tonga,0.584137931,Tonga,2.777256029
Trinidad and Tobago,Trinidad and Tobago,0.801137931,Trinidad and Tobago,3.381366852
Tunisia,Tunisia,0.661586207,Tunisia,2.697393635
Turkey,Turkey,0.764344828,Turkey,2.005569293
Turkmenistan,Turkmenistan,0.653034483,Turkmenistan,1.993374109
Tuvalu,Tuvalu,0.594344828,Tuvalu,3.803351138
Uganda,Uganda,0.376965517,Uganda,2.896661517
Ukraine,Ukraine,0.63762069,Ukraine,0.464833835
United Arab Emirates,United Arab Emirates,0.989655172,United Arab Emirates,2.122639896
UK,United Kingdom,0.87937931,UK,1.902831317
USA,United States,0.928068966,USA,1.749569296
Uruguay,Uruguay,0.744241379,Uruguay,1.471868242
Uzbekistan,Uzbekistan,0.533724138,Uzbekistan,1.723628251
Vanuatu,Vanuatu,0.492068966,Vanuatu,3.240730759
Venezuela,Venezuela (Bolivarian Republic of),0.756275862,Venezuela,3.152692561
Vietnam,Viet Nam,0.518827586,Vietnam,2.913509066
W. Sahara,W. Sahara,NA,W. Sahara,2.325954136
Yemen,Yemen,0.502965517,Yemen,3.775696417
Zambia,Zambia,0.486965517,Zambia,3.13733679
Zimbabwe,Zimbabwe,0.470551724,Zimbabwe,2.35689363